Unterwerksbezeichnung;Anlagenklasse ;Diziplinen;Bescreibung;Dokumentart;Bescreibung;Dok Nr.;Bescreibung;Frei TEXT ;Revision*;Projektnummer*
WM10;E01;PRI;Primär;AUF;Auftrag;AXPO;AXPO normal Dokument;Frei_TEXT;0;C-00001
WI10;T13;PRI;Primär;BIM;BEP-BimElementPlan-EIR;AXPO;AXPO normal Dokument;Frei_TEXT;;
;T21;PRI;Primär;BER;Berichte;EE000001;EE Nummer für EE Dokumenten;Frei_TEXT;;
;T22;PRI;Primär;DIS;DISPOSITION;AXPO000001;AXPO Nummer für Pläne;Frei_TEXT;;
;S00;PRI;Primär;FOR;Formular;AXPO;AXPO normal Dokument;Frei_TEXT;;
;;PRI;Primär;LÄN;LÄNGSSCHNITT;AXPO000002;AXPO Nummer für Pläne;Frei_TEXT;;
;;PRI;Primär;LIS;Liste;AXPO;AXPO normal Dokument;Frei_TEXT;;
;;PRI;Primär;POL;1-POL.SCHEMA;AXPO;AXPO normal Dokument;Frei_TEXT;;
;;PRI;Primär;PRE;Präsentation;AXPO000003;AXPO Nummer für Pläne;Frei_TEXT;;
;;PRI;Primär;QUE;QUERSCHNITT;EE000002;EE Nummer für EE Dokumenten;Frei_TEXT;;
;;PRI;Primär;SCH;Schema;AXPO0000;AXPO Nummer für Pläne;Frei_TEXT;;
;;PRI;Primär;SIK;SicherheitKonzept;AXPO;AXPO normal Dokument;Frei_TEXT;;
;;PRI;Primär;SIT;SITUATION;AXPO000004;AXPO Nummer für Pläne;Frei_TEXT;;
;;PRI;Primär;STA;STAHLGERÜST;AXPO000005;AXPO Nummer für Pläne;Frei_TEXT;;
;;PRI;Primär;VER;Vertrag;EE000003;EE Nummer für EE Dokumenten;Frei_TEXT;;
;;PRI;Primär;PHP;Phasenschema;AXPO000006;AXPO Nummer für Pläne;Frei_TEXT;;
;;PRI;Primär;ETP;Etappenplan;AXPO000007;AXPO Nummer für Pläne;Frei_TEXT;;
;;PRI;Primär;IBN;Inbetriebnahmeprogram;EE000004;EE Nummer für EE Dokumenten;Frei_TEXT;;
;;PRI;Primär;PTK;Protokoll;SK000001;SK JJMMTT;;;
;;SEK;Sekundär;AUF;Auftrag;;;;;
;;SEK;Sekundär;BIM;BEP-BimElementPlan-EIR;;;;;
;;SEK;Sekundär;BER;Berichte;;;;;
;;SEK;Sekundär;DIS;DISPOSITION;;;;;
;;SEK;Sekundär;FOR;Formular;;;;;
;;SEK;Sekundär;LÜS;Leitsystemübersicht;;;;;
;;SEK;Sekundär;LIS;Liste;;;;;
;;SEK;Sekundär;POL;1-POL.SCHEMA;;;;;
;;SEK;Sekundär;PRE;Präsentation;;;;;
;;SEK;Sekundär;QUE;QUERSCHNITT;;;;;
;;SEK;Sekundär;SCH;Schema;;;;;
;;SEK;Sekundär;SIK;SicherheitKonzept;;;;;
;;SEK;Sekundär;SIT;SITUATION;;;;;
;;SEK;Sekundär;STA;STAHLGERÜST;;;;;
;;SEK;Sekundär;VER;Vertrag;;;;;
;;KBL;Kabelleitung;PHP;Phasenschema;;;;;
;;LEI;Leitungsbau;ETP;Etappenplan;;;;;
;;BAU;Bau;IBN;Inbetriebnahmeprogram;;;;;
;;PRO;Projektleiter;PTK;Protokoll;;;;;
;;AGV;AGV;;;;;;;
;;REC;Rechtwe;;;;;;;
;;LUE;Lüftung;;;;;;;
;;SAN;Sanitär;;;;;;;
;;ELE;Elektrotechnik;;;;;;;
;;EIG;Eigenbedarf;;;;;;;
;;ERD;Erdung;;;;;;;
